
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    26.26.26.1:64597       183.141.122.173:37217  ESTABLISHED     8308
  TCP    26.26.26.1:64598       115.209.191.100:30210  TIME_WAIT       0
  TCP    26.26.26.1:64601       119.99.251.229:44448   ESTABLISHED     8308
  TCP    26.26.26.1:64605       125.104.85.92:23328    TIME_WAIT       0
  TCP    26.26.26.1:64607       39.174.253.197:21378   ESTABLISHED     8308
  TCP    26.26.26.1:64608       116.196.140.222:25949  TIME_WAIT       0
  TCP    26.26.26.1:64611       219.139.157.89:4870    TIME_WAIT       0
  TCP    26.26.26.1:64612       121.231.210.186:57428  TIME_WAIT       0
  TCP    26.26.26.1:64615       183.130.156.166:37980  TIME_WAIT       0
  TCP    26.26.26.1:64617       114.231.136.170:29595  ESTABLISHED     8308
  TCP    26.26.26.1:64619       60.162.33.40:42161     ESTABLISHED     8308
  TCP    26.26.26.1:64623       27.29.183.32:20030     ESTABLISHED     8308
  TCP    26.26.26.1:64624       122.239.108.6:19542    ESTABLISHED     8308
  TCP    26.26.26.1:64628       182.47.131.246:31888   ESTABLISHED     8308
  TCP    26.26.26.1:64630       123.178.19.250:44047   ESTABLISHED     8308
  TCP    26.26.26.1:64633       112.39.85.167:13390    ESTABLISHED     8308
  TCP    26.26.26.1:64636       59.174.119.207:34151   ESTABLISHED     8308
  TCP    26.26.26.1:64637       183.150.180.78:29013   TIME_WAIT       0
  TCP    26.26.26.1:64640       171.42.153.175:35648   ESTABLISHED     8308
  TCP    26.26.26.1:64641       111.75.158.154:22632   TIME_WAIT       0
  TCP    26.26.26.1:64644       218.4.126.11:51103     ESTABLISHED     8308
  TCP    26.26.26.1:64645       223.167.100.56:5606    ESTABLISHED     8308
  TCP    26.26.26.1:64649       60.168.207.24:48189    ESTABLISHED     8308
  TCP    26.26.26.1:64650       182.110.190.156:19912  ESTABLISHED     8308
  TCP    26.26.26.1:64653       182.100.11.90:10811    TIME_WAIT       0
  TCP    26.26.26.1:64655       183.130.251.133:40717  ESTABLISHED     8308
  TCP    26.26.26.1:64659       139.189.115.126:5446   ESTABLISHED     8308
  TCP    26.26.26.1:64661       52.167.17.97:443       TIME_WAIT       0
  TCP    26.26.26.1:64664       222.168.231.50:45599   ESTABLISHED     8308
  TCP    26.26.26.1:64667       143.92.32.224:80       ESTABLISHED     14148
  TCP    26.26.26.1:64669       113.95.137.71:48913    ESTABLISHED     8308
  TCP    26.26.26.1:64670       14.154.0.0:10965       ESTABLISHED     8308
  TCP    26.26.26.1:64673       119.145.208.243:3309   ESTABLISHED     8308
  TCP    26.26.26.1:64675       59.37.162.192:27585    ESTABLISHED     8308
  TCP    26.26.26.1:64681       61.165.100.235:36593   ESTABLISHED     8308
  TCP    26.26.26.1:64684       125.75.126.222:59642   ESTABLISHED     8308
  TCP    26.26.26.1:64689       113.90.157.134:42502   ESTABLISHED     8308
  TCP    26.26.26.1:64691       223.11.136.111:51110   ESTABLISHED     8308
  TCP    26.26.26.1:64693       223.198.127.141:32750  TIME_WAIT       0
  TCP    26.26.26.1:64696       61.174.43.210:443      ESTABLISHED     24744
  TCP    26.26.26.1:64699       171.107.35.187:13494   ESTABLISHED     8308
  TCP    127.0.0.1:8900         127.0.0.1:49668        ESTABLISHED     4448
  TCP    127.0.0.1:8900         127.0.0.1:49673        ESTABLISHED     4448
  TCP    127.0.0.1:8900         127.0.0.1:49674        ESTABLISHED     4448
  TCP    127.0.0.1:8900         127.0.0.1:49675        ESTABLISHED     4448
  TCP    127.0.0.1:8900         127.0.0.1:49676        ESTABLISHED     4448
  TCP    127.0.0.1:8900         127.0.0.1:49677        ESTABLISHED     4448
  TCP    127.0.0.1:8901         0.0.0.0:0              LISTENING       28696
  TCP    127.0.0.1:8901         0.0.0.0:0              LISTENING       35972
  TCP    127.0.0.1:9080         0.0.0.0:0              LISTENING       6600
  TCP    127.0.0.1:14013        0.0.0.0:0              LISTENING       31348
  TCP    127.0.0.1:14016        0.0.0.0:0              LISTENING       31348
  TCP    127.0.0.1:14019        0.0.0.0:0              LISTENING       31348
  TCP    127.0.0.1:14022        0.0.0.0:0              LISTENING       31348
  TCP    127.0.0.1:14023        0.0.0.0:0              LISTENING       31348
  TCP    127.0.0.1:20017        0.0.0.0:0              LISTENING       8308
  TCP    127.0.0.1:33211        0.0.0.0:0              LISTENING       6588
  TCP    127.0.0.1:38309        0.0.0.0:0              LISTENING       32636
  TCP    127.0.0.1:45678        0.0.0.0:0              LISTENING       13264
  TCP    127.0.0.1:49668        127.0.0.1:8900         ESTABLISHED     5912
  TCP    127.0.0.1:49671        127.0.0.1:49672        ESTABLISHED     4448
  TCP    127.0.0.1:49672        127.0.0.1:49671        ESTABLISHED     4448
  TCP    127.0.0.1:49673        127.0.0.1:8900         ESTABLISHED     11348
  TCP    127.0.0.1:49674        127.0.0.1:8900         ESTABLISHED     11080
  TCP    127.0.0.1:49675        127.0.0.1:8900         ESTABLISHED     11256
  TCP    127.0.0.1:49676        127.0.0.1:8900         ESTABLISHED     11144
  TCP    127.0.0.1:49677        127.0.0.1:8900         ESTABLISHED     10888
  TCP    127.0.0.1:49724        0.0.0.0:0              LISTENING       1348
  TCP    127.0.0.1:51404        127.0.0.1:59362        ESTABLISHED     12648
  TCP    127.0.0.1:55547        127.0.0.1:59362        ESTABLISHED     12648
  TCP    127.0.0.1:59362        0.0.0.0:0              LISTENING       25648
  TCP    127.0.0.1:59362        127.0.0.1:51404        ESTABLISHED     25648
  TCP    127.0.0.1:59362        127.0.0.1:55547        ESTABLISHED     25648
  TCP    127.0.0.1:62816        127.0.0.1:62817        ESTABLISHED     8308
  TCP    127.0.0.1:62817        127.0.0.1:62816        ESTABLISHED     8308
  TCP    127.0.0.1:62818        127.0.0.1:62819        ESTABLISHED     8308
  TCP    127.0.0.1:62819        127.0.0.1:62818        ESTABLISHED     8308
  TCP    172.19.128.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.33.138:139     0.0.0.0:0              LISTENING       4
  TCP    192.168.33.138:49412   4.145.79.81:443        ESTABLISHED     6784
  TCP    192.168.33.138:49682   61.153.154.124:443     ESTABLISHED     7044
  TCP    192.168.33.138:49763   113.96.22.6:443        ESTABLISHED     7044
  TCP    192.168.33.138:50224   113.96.22.6:443        ESTABLISHED     7044
