
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    26.26.26.1:63380       171.107.131.191:35452  TIME_WAIT       0
  TCP    26.26.26.1:63381       58.59.215.30:21247     TIME_WAIT       0
  TCP    26.26.26.1:63382       116.11.4.217:53666     TIME_WAIT       0
  TCP    26.26.26.1:63383       171.107.140.92:37863   TIME_WAIT       0
  TCP    26.26.26.1:63388       171.222.246.84:8915    TIME_WAIT       0
  TCP    26.26.26.1:63393       112.41.32.22:22272     TIME_WAIT       0
  TCP    26.26.26.1:63394       113.17.154.119:32908   TIME_WAIT       0
  TCP    26.26.26.1:63395       220.173.29.147:23190   TIME_WAIT       0
  TCP    26.26.26.1:63396       183.7.144.173:25842    TIME_WAIT       0
  TCP    26.26.26.1:63397       220.173.29.203:29997   TIME_WAIT       0
  TCP    26.26.26.1:63398       220.168.156.85:51467   TIME_WAIT       0
  TCP    26.26.26.1:63399       58.59.215.30:21247     TIME_WAIT       0
  TCP    26.26.26.1:63407       111.25.39.53:27403     TIME_WAIT       0
  TCP    26.26.26.1:63409       222.180.243.50:47663   ESTABLISHED     8308
  TCP    26.26.26.1:63412       223.101.42.19:11063    TIME_WAIT       0
  TCP    26.26.26.1:63415       116.11.4.217:53666     TIME_WAIT       0
  TCP    26.26.26.1:63416       220.173.29.147:23190   TIME_WAIT       0
  TCP    26.26.26.1:63419       112.41.32.22:22272     TIME_WAIT       0
  TCP    26.26.26.1:63421       171.107.131.191:35452  TIME_WAIT       0
  TCP    26.26.26.1:63423       220.168.156.85:51467   TIME_WAIT       0
  TCP    26.26.26.1:63424       220.173.29.203:29997   TIME_WAIT       0
  TCP    26.26.26.1:63425       223.101.42.19:11063    TIME_WAIT       0
  TCP    26.26.26.1:63431       121.228.176.155:443    TIME_WAIT       0
  TCP    26.26.26.1:63433       112.41.32.22:22272     TIME_WAIT       0
  TCP    26.26.26.1:63434       171.107.140.92:37863   TIME_WAIT       0
  TCP    26.26.26.1:63435       112.41.9.184:11508     TIME_WAIT       0
  TCP    26.26.26.1:63436       183.7.144.173:25842    TIME_WAIT       0
  TCP    26.26.26.1:63437       220.173.29.147:23190   TIME_WAIT       0
  TCP    26.26.26.1:63438       116.11.4.217:53666     TIME_WAIT       0
  TCP    26.26.26.1:63439       113.17.154.119:32908   TIME_WAIT       0
  TCP    26.26.26.1:63440       111.25.39.53:27403     TIME_WAIT       0
  TCP    26.26.26.1:63449       171.107.131.191:35452  TIME_WAIT       0
  TCP    26.26.26.1:63450       220.168.156.85:51467   TIME_WAIT       0
  TCP    26.26.26.1:63453       58.59.215.30:21247     TIME_WAIT       0
  TCP    26.26.26.1:63455       112.41.32.22:22272     TIME_WAIT       0
  TCP    26.26.26.1:63457       183.7.144.173:25842    TIME_WAIT       0
  TCP    26.26.26.1:63458       220.173.29.147:23190   TIME_WAIT       0
  TCP    26.26.26.1:63459       220.173.29.203:29997   TIME_WAIT       0
  TCP    26.26.26.1:63463       113.17.154.119:32908   TIME_WAIT       0
  TCP    26.26.26.1:63465       121.228.177.115:443    TIME_WAIT       0
  TCP    26.26.26.1:63467       220.168.156.85:51467   TIME_WAIT       0
  TCP    26.26.26.1:63470       220.173.29.203:29997   TIME_WAIT       0
  TCP    26.26.26.1:63472       113.17.154.119:32908   TIME_WAIT       0
  TCP    26.26.26.1:63474       220.173.29.147:23190   TIME_WAIT       0
