
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    26.26.26.1:52022       113.81.121.237:34792   TIME_WAIT       0
  TCP    26.26.26.1:52023       113.109.250.59:32361   TIME_WAIT       0
  TCP    26.26.26.1:52024       119.125.8.95:51843     TIME_WAIT       0
  TCP    26.26.26.1:52025       183.7.149.135:59661    ESTABLISHED     8308
  TCP    26.26.26.1:52027       60.177.223.2:24756     TIME_WAIT       0
  TCP    26.26.26.1:52043       123.172.82.118:38178   ESTABLISHED     8308
  TCP    26.26.26.1:52044       222.168.231.50:45599   ESTABLISHED     8308
  TCP    26.26.26.1:52047       113.140.81.214:40577   ESTABLISHED     8308
  TCP    26.26.26.1:52048       125.75.126.222:59642   ESTABLISHED     8308
  TCP    26.26.26.1:52051       117.22.168.144:1198    ESTABLISHED     8308
  TCP    26.26.26.1:52052       124.114.73.51:22098    ESTABLISHED     8308
  TCP    26.26.26.1:54481       123.172.144.202:61441  TIME_WAIT       0
  TCP    26.26.26.1:54706       61.153.154.124:443     ESTABLISHED     24744
  TCP    26.26.26.1:54740       115.227.155.247:16666  ESTABLISHED     35772
  TCP    26.26.26.1:55998       110.167.201.246:13598  TIME_WAIT       0
  TCP    26.26.26.1:56000       114.235.16.99:31242    TIME_WAIT       0
  TCP    26.26.26.1:56002       171.108.189.49:40969   TIME_WAIT       0
  TCP    26.26.26.1:56005       222.216.37.124:57725   TIME_WAIT       0
  TCP    26.26.26.1:56007       219.150.235.166:23472  TIME_WAIT       0
  TCP    26.26.26.1:56009       59.47.52.210:42806     TIME_WAIT       0
  TCP    26.26.26.1:56022       61.153.154.124:443     ESTABLISHED     35972
  TCP    26.26.26.1:56643       23.59.88.35:443        CLOSE_WAIT      21232
  TCP    26.26.26.1:58849       20.125.54.134:443      ESTABLISHED     35772
  TCP    26.26.26.1:62254       111.124.200.84:443     ESTABLISHED     8308
  TCP    127.0.0.1:3333         0.0.0.0:0              LISTENING       16176
  TCP    127.0.0.1:4444         0.0.0.0:0              LISTENING       16176
  TCP    127.0.0.1:6666         0.0.0.0:0              LISTENING       16176
  TCP    127.0.0.1:8900         127.0.0.1:49668        ESTABLISHED     4448
  TCP    127.0.0.1:8900         127.0.0.1:49673        ESTABLISHED     4448
  TCP    127.0.0.1:8900         127.0.0.1:49674        ESTABLISHED     4448
  TCP    127.0.0.1:8900         127.0.0.1:49675        ESTABLISHED     4448
  TCP    127.0.0.1:8900         127.0.0.1:49676        ESTABLISHED     4448
  TCP    127.0.0.1:8900         127.0.0.1:49677        ESTABLISHED     4448
  TCP    127.0.0.1:8901         0.0.0.0:0              LISTENING       28696
  TCP    127.0.0.1:8901         0.0.0.0:0              LISTENING       35972
  TCP    127.0.0.1:9080         0.0.0.0:0              LISTENING       6600
  TCP    127.0.0.1:14013        0.0.0.0:0              LISTENING       31348
  TCP    127.0.0.1:14016        0.0.0.0:0              LISTENING       31348
  TCP    127.0.0.1:14019        0.0.0.0:0              LISTENING       31348
  TCP    127.0.0.1:14022        0.0.0.0:0              LISTENING       31348
  TCP    127.0.0.1:14023        0.0.0.0:0              LISTENING       31348
  TCP    127.0.0.1:20017        0.0.0.0:0              LISTENING       8308
  TCP    127.0.0.1:20017        127.0.0.1:51766        TIME_WAIT       0
  TCP    127.0.0.1:33211        0.0.0.0:0              LISTENING       6588
  TCP    127.0.0.1:38309        0.0.0.0:0              LISTENING       32636
  TCP    127.0.0.1:45678        0.0.0.0:0              LISTENING       13264
  TCP    127.0.0.1:49668        127.0.0.1:8900         ESTABLISHED     5912
  TCP    127.0.0.1:49671        127.0.0.1:49672        ESTABLISHED     4448
  TCP    127.0.0.1:49672        127.0.0.1:49671        ESTABLISHED     4448
  TCP    127.0.0.1:49673        127.0.0.1:8900         ESTABLISHED     11348
  TCP    127.0.0.1:49674        127.0.0.1:8900         ESTABLISHED     11080
  TCP    127.0.0.1:49675        127.0.0.1:8900         ESTABLISHED     11256
  TCP    127.0.0.1:49676        127.0.0.1:8900         ESTABLISHED     11144
  TCP    127.0.0.1:49677        127.0.0.1:8900         ESTABLISHED     10888
  TCP    127.0.0.1:49724        0.0.0.0:0              LISTENING       1348
  TCP    127.0.0.1:51404        127.0.0.1:59362        ESTABLISHED     12648
  TCP    127.0.0.1:51766        127.0.0.1:20017        TIME_WAIT       0
  TCP    127.0.0.1:51902        127.0.0.1:20017        TIME_WAIT       0
  TCP    127.0.0.1:52013        127.0.0.1:20017        TIME_WAIT       0
  TCP    127.0.0.1:55547        127.0.0.1:59362        ESTABLISHED     12648
  TCP    127.0.0.1:59362        0.0.0.0:0              LISTENING       25648
  TCP    127.0.0.1:59362        127.0.0.1:51404        ESTABLISHED     25648
  TCP    127.0.0.1:59362        127.0.0.1:55547        ESTABLISHED     25648
  TCP    127.0.0.1:62816        127.0.0.1:62817        ESTABLISHED     8308
  TCP    127.0.0.1:62817        127.0.0.1:62816        ESTABLISHED     8308
  TCP    127.0.0.1:62818        127.0.0.1:62819        ESTABLISHED     8308
  TCP    127.0.0.1:62819        127.0.0.1:62818        ESTABLISHED     8308
  TCP    172.19.128.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.33.138:139     0.0.0.0:0              LISTENING       4
  TCP    192.168.33.138:49412   4.145.79.81:443        ESTABLISHED     6784
  TCP    192.168.33.138:49763   113.96.22.6:443        ESTABLISHED     7044
  TCP    192.168.33.138:50224   113.96.22.6:443        ESTABLISHED     7044
  TCP    192.168.33.138:50397   49.7.47.44:443         ESTABLISHED     7044
  TCP    192.168.33.138:50897   157.122.221.202:443    ESTABLISHED     7044
  TCP    192.168.33.138:51155   183.47.122.37:443      ESTABLISHED     7044
  TCP    192.168.33.138:51315   14.152.94.114:443      ESTABLISHED     7044
  TCP    192.168.33.138:51690   182.200.199.207:36032  TIME_WAIT       0
  TCP    192.168.33.138:51695   61.184.21.163:45357    TIME_WAIT       0
